29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Cook express,"10,5%",6/01/2026,Factura A,0002-00078346,"$133.990,10","$14.068,96","$119.921,14",  60 ,7/03/2026,12/01/2026,"$133.990,10","$0,00",PAGADO,Cheque,,CMV
La Distribuidora,"18,9%",6/01/2026,Factura A,7631,"$284.490,17","$53.768,64","$230.721,53",  15 ,21/01/2026,26/01/2026,"$284.490,17","$0,00",PAGADO,Posnet Proveedor,,CMV
Over Clean,,6/01/2026,Remito,0101-00046858,"$77.467,50","$0,00","$77.467,50",  7 ,13/01/2026,13/01/2026,"$77.467,50","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
CEPRO,"18,9%",6/01/2026,Factura A,00007-00223318,"$186.804,11","$35.305,98","$151.498,13",  15 ,21/01/2026,21/01/2026,"$186.804,11","$0,00",PAGADO,Transferencia,,CMV
Quento,,6/01/2026,Remito,144495,"$41.990,00","$0,00","$41.990,00",  -   ,6/01/2026,6/01/2026,"$41.990,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Stock Mercadería Local,,6/01/2026,Ticket CF,286200,"$7.314,00","$0,00","$7.314,00",  -   ,6/01/2026,6/01/2026,"$7.314,00","$0,00",PAGADO,Efectivo Local,CHOCLO PARA EJECUTIVO,CMV
Gastos Varios - Mantenimiento Local,,6/01/2026,Remito,36420,"$462,00","$0,00","$462,00",  -   ,6/01/2026,6/01/2026,"$462,00","$0,00",PAGADO,Efectivo Local,CADENA MOCHILA DE BAÑO,Mantenimiento
Gastos Varios - Viaticos empleados ,,6/01/2026,Sin comprobante,0,"$30.000,00","$0,00","$30.000,00",  -   ,6/01/2026,6/01/2026,"$30.000,00","$0,00",PAGADO,Efectivo Local,CONSULTA MEDICA SOFI,Gastos Personal
Gastos Varios - Propinas,,6/01/2026,Sin comprobante,0,"$5.400,00","$0,00","$5.400,00",  -   ,6/01/2026,6/01/2026,"$5.400,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Gastos Varios - Mantenimiento Local,,6/01/2026,Sin comprobante,0,"$30.000,00","$0,00","$30.000,00",  -   ,6/01/2026,6/01/2026,"$30.000,00","$0,00",PAGADO,Efectivo Local,MANTENIMIENTO CANILLAS ,Mantenimiento
Carnicerías Integradas,"12,6%",6/01/2026,Factura A,0008-00064691,"$413.884,00","$52.149,38","$361.734,62",  10 ,16/01/2026,21/01/2026,"$413.884,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Stock Mercadería Local,,6/01/2026,Ticket CF,207789,"$600,00","$0,00","$600,00",  -   ,6/01/2026,6/01/2026,"$600,00","$0,00",PAGADO,Efectivo Local,LEVADURA FRESCA,CMV
Fumigación,,6/01/2026,Remito,59989,"$45.000,00","$0,00","$45.000,00",  -   ,6/01/2026,6/01/2026,"$45.000,00","$0,00",PAGADO,Efectivo Local,,Mantenimiento
Hielo Rosario,,6/01/2026,Remito,15350,"$32.000,00","$0,00","$32.000,00",  -   ,6/01/2026,6/01/2026,"$32.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Propinas,,6/01/2026,Sin comprobante,0,"$12.840,00","$0,00","$12.840,00",  -   ,6/01/2026,6/01/2026,"$12.840,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",7/01/2026,Factura A,0002-00078420,"$196.303,00","$20.611,82","$175.691,19",  60 ,8/03/2026,12/01/2026,"$196.303,00","$0,00",PAGADO,Cheque,,CMV
Nunzio,"21,0%",7/01/2026,Factura A,0005-00072366,"$121.550,00","$25.525,50","$96.024,50",  7 ,14/01/2026,14/01/2026,"$121.550,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Propinas,,7/01/2026,Sin comprobante,0,"$7.150,00","$0,00","$7.150,00",  -   ,7/01/2026,7/01/2026,"$7.150,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",7/01/2026,Factura A,0002-00078447,"$46.470,50","$4.879,40","$41.591,10",  60 ,8/03/2026,12/01/2026,"$46.470,50","$0,00",PAGADO,Cheque,,CMV
Hielo Rosario,,7/01/2026,Remito,10705,"$16.000,00","$0,00","$16.000,00",  -   ,7/01/2026,7/01/2026,"$16.000,00","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Propinas,,7/01/2026,Sin comprobante,0,"$23.220,00","$0,00","$23.220,00",  -   ,7/01/2026,7/01/2026,"$23.220,00","$0,00",PAGADO,Efectivo Local,,Gastos Personal
Cook express,"10,5%",8/01/2026,Factura A,0002-00078461,"$85.311,00","$8.957,66","$76.353,35",  60 ,9/03/2026,12/01/2026,"$85.311,00","$0,00",PAGADO,Cheque,,CMV
Embotelladora del Atlantico (Coca Cola),"21,0%",8/01/2026,Factura A,2250-01612608,"$55.056,81","$11.561,93","$43.494,88",  -   ,8/01/2026,8/01/2026,"$55.056,81","$0,00",PAGADO,Efectivo Local,,CMV
Agustín Ariel Pujol,"10,5%",8/01/2026,Remito,98310,"$90.000,00","$0,00","$90.000,00",  30 ,7/02/2026,17/04/2026,"$90.000,00","$0,00",PAGADO,Transferencia,,CMV
