29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Transporte Rosario Logística,"21,0%",1/10/2025,Factura A,171235,"$33.039,05","$6.938,20","$26.100,85",  30 ,31/10/2025,26/11/2025,"$33.039,05","$0,00",PAGADO,Mercado Pago,,Logistica
Gastos Varios - Otros,"21,0%",2/10/2025,Factura A,4330,"$96.700,00","$20.307,00","$76.393,00",  -   ,2/10/2025,2/10/2025,"$96.700,00","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Descartables y Limpieza,,2/10/2025,Sin comprobante,,"$60.000,00","$0,00","$60.000,00",  -   ,2/10/2025,2/10/2025,"$60.000,00","$0,00",PAGADO,,,"Limpieza, Descartables y Bazar"
Némesis (Grit Beerlab SRL),"21,0%",3/10/2025,Remito,12291,"$165.000,00","$0,00","$165.000,00",  20 ,23/10/2025,9/10/2025,"$165.000,00","$0,00",PAGADO,,,CMV
Focacceria Marzano,,3/10/2025,Sin comprobante,,"$54.000,00","$0,00","$54.000,00",  7 ,10/10/2025,3/10/2025,"$54.000,00","$0,00",PAGADO,,,CMV
Gastos Varios - Otros,,1/10/2025,Remito,121827,"$19.662,42","$0,00","$19.662,42",  -   ,1/10/2025,,,"$19.662,42",VENCIDO,,,Gastos Varios
Vines & Co.,"21,0%",3/10/2025,Factura A,222374,"$46.920,00","$9.853,20","$37.066,80",  21 ,24/10/2025,26/10/2025,"$46.920,00","$0,00",PAGADO,Posnet Proveedor,,CMV
Gastos Varios - Otros,,01/10/2025,Factura B,611859,"$213.430,29","$0,00","$213.430,29",  -   ,1/10/2025,1/10/2025,"$213.430,29","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Otros,,1/10/2025,Remito,26538,"$0,00","$0,00","$0,00",  -   ,1/10/2025,1/10/2025,"$0,00","$0,00",PAGADO,,,Gastos Varios
Nueve Seis Nueve,,3/10/2025,Remito,65168,"$27.089,96","$0,00","$27.089,96",  -   ,3/10/2025,,,"$27.089,96",VENCIDO,,,CMV
La Distribuidora,"18,9%",3/10/2025,Factura A,6404,"$351.558,79","$66.444,61","$285.114,18",  15 ,18/10/2025,15/10/2025,"$351.558,79","$0,00",PAGADO,Transferencia,,CMV
Distribuidora ALCORTA,"21,0%",3/10/2025,Factura A,22349,"$32.418,72","$6.807,93","$25.610,79",  -   ,3/10/2025,14/10/2025,"$32.418,72","$0,00",PAGADO,,,CMV
San Remo ,"21,0%",2/10/2025,Factura A,20707,"$10.914,75","$2.292,10","$8.622,65",  -   ,2/10/2025,3/10/2025,"$10.914,75","$0,00",PAGADO,,,CMV
Over Clean,,2/10/2025,Remito,45191,"$272.430,55","$0,00","$272.430,55",  7 ,9/10/2025,10/10/2025,"$272.430,55","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Gastos Varios - Stock Mercadería Local,,6/10/2025,Sin comprobante,,"$90.000,00","$0,00","$90.000,00",  -   ,6/10/2025,6/10/2025,"$90.000,00","$0,00",PAGADO,,,CMV
Gastos Varios - Descartables y Limpieza,,30/09/2025,Sin comprobante,,"$60.000,00","$0,00","$60.000,00",  -   ,30/09/2025,30/09/2025,"$60.000,00","$0,00",PAGADO,,,"Limpieza, Descartables y Bazar"
Gastos Varios - Otros,,1/10/2025,Sin comprobante,,"$20.000,00","$0,00","$20.000,00",  -   ,1/10/2025,1/10/2025,"$20.000,00","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Mantenimiento Local,,3/10/2025,Sin comprobante,,"$234.000,00","$0,00","$234.000,00",  -   ,3/10/2025,3/10/2025,"$234.000,00","$0,00",PAGADO,,,Mantenimiento
Gastos Varios - Viaticos empleados ,,4/10/2025,Sin comprobante,,"$43.200,00","$0,00","$43.200,00",  -   ,4/10/2025,4/10/2025,"$43.200,00","$0,00",PAGADO,,,Gastos Personal
CCU,"21,0%",5/10/2025,Factura A,983374,"$441.372,14","$92.688,15","$348.683,99",  -   ,5/10/2025,5/10/2025,"$441.372,14","$0,00",PAGADO,,,CMV
Gastos Varios - Mantenimiento Local,,6/10/2025,Sin comprobante,,"$25.000,00","$0,00","$25.000,00",  -   ,6/10/2025,6/10/2025,"$25.000,00","$0,00",PAGADO,,,Mantenimiento
Gastos Varios - Mantenimiento Local,,6/10/2025,Remito,35985,"$4.200,00","$0,00","$4.200,00",  -   ,6/10/2025,6/10/2025,"$4.200,00","$0,00",PAGADO,,,Mantenimiento
Gastos Varios - Otros,,4/10/2025,Remito,80050,"$18.025,64","$0,00","$18.025,64",  -   ,4/10/2025,4/10/2025,"$18.025,64","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Otros,,4/10/2025,Remito,80051,"$25.175,83","$0,00","$25.175,83",  -   ,4/10/2025,4/10/2025,"$25.175,83","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Otros,,7/10/2025,Sin comprobante,,"$24.000,00","$0,00","$24.000,00",  -   ,7/10/2025,7/10/2025,"$24.000,00","$0,00",PAGADO,,,Gastos Varios
Gastos Varios - Stock Mercadería Local,,7/10/2025,Sin comprobante,,"$13.000,00","$0,00","$13.000,00",  -   ,7/10/2025,7/10/2025,"$13.000,00","$0,00",PAGADO,,,CMV
Focacceria Marzano,,4/10/2025,Sin comprobante,,"$90.000,00","$0,00","$90.000,00",  7 ,11/10/2025,11/10/2025,"$90.000,00","$0,00",PAGADO,,,CMV
Focacceria Marzano,,9/10/2025,Sin comprobante,,"$36.000,00","$0,00","$36.000,00",  7 ,16/10/2025,9/10/2025,"$36.000,00","$0,00",PAGADO,,,CMV
Gastos Varios - Stock Mercadería Local,,9/10/2025,Sin comprobante,,"$25.000,00","$0,00","$25.000,00",  -   ,9/10/2025,9/10/2025,"$25.000,00","$0,00",PAGADO,,,CMV
Gastos Varios - Otros,,9/10/2025,Sin comprobante,,"$2.400,00","$0,00","$2.400,00",  -   ,9/10/2025,9/10/2025,"$2.400,00","$0,00",PAGADO,,,Gastos Varios
CCU,"21,0%",9/10/2025,Factura A,9885496,"$556.597,07","$116.885,38","$439.711,69",  -   ,9/10/2025,9/10/2025,"$556.597,07","$0,00",PAGADO,,,CMV
