Mes del Gasto,COSTOS FIJOS / OTROS GASTOS,Comentario / Proveedor,LOCAL - ADM CENTRAL,Importe,Check %, %, MORENO,%,VIA VIEJA,%,COLEGIO,%,GG2,%,GG4, MONTO PAGO,FECHA PAGO,FORMA PAGO,Saldo a Pagar,Linea P&L
Marzo,Gastos en Activos ,freezer,MORENO," $  550.000,0 ",0%,100%," $  550.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  550.000,0 ",16/3/2026,EF Local, $  -   ,Gastos Varios
Marzo,Gastos en Activos ,microondas,VIA VIEJA," $  209.687,0 ",0%,, $  -   ,100%," $  209.687,0 ",, $  -   ,, $  -   ,, $  -   ," $  209.687,0 ",16/3/2026,EF Local, $  -   ,Gastos Varios
Marzo,Islas callejeras,deuda moreno,MORENO," $  456.877,0 ",0%,100%," $  456.877,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  456.877,0 ",17/3/2026,DB.Aut.Local, $  -   ,Gastos Varios
Marzo,Eventos,artistica,VIA VIEJA," $  223.750,0 ",0%,, $  -   ,100%," $  223.750,0 ",, $  -   ,, $  -   ,, $  -   ," $  223.750,0 ",17/3/2026,Transferencia, $  -   ,Eventos
Marzo,Sueldos,liquidacion final aquino,MORENO," $  205.000,0 ",0%,100%," $  205.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  205.000,0 ",17/3/2026,EF ADM, $  -   ,"Jornales, Semanales y Mensualizados por HORA"
Marzo,DreI - Habilitaciones - Multas,,GG4," $  68.162,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  68.162,0 "," $  68.162,0 ",18/3/2026,DB.Aut.Local, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Eventos,globos,GG2," $  32.400,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  32.400,0 ",, $  -   ," $  32.400,0 ",16/3/2026,MP, $  -   ,Eventos
Marzo,Impresiones graficas ,,VIA VIEJA," $  22.000,0 ",0%,, $  -   ,100%," $  22.000,0 ",, $  -   ,, $  -   ,, $  -   ," $  22.000,0 ",16/3/2026,MP, $  -   ,Artículos de librería / Impresiones
Marzo,Otros,vampi,COLEGIO," $  50.000,0 ",0%,, $  -   ,, $  -   ,100%," $  50.000,0 ",, $  -   ,, $  -   ," $  50.000,0 ",16/3/2026,MP, $  -   ,Gastos Varios
Marzo,Impresiones graficas ,afiches,COLEGIO," $  18.000,0 ",0%,, $  -   ,, $  -   ,100%," $  18.000,0 ",, $  -   ,, $  -   ," $  18.000,0 ",16/3/2026,MP, $  -   ,Artículos de librería / Impresiones
Marzo,Impresiones graficas ,afiches,COLEGIO," $  88.000,0 ",0%,, $  -   ,, $  -   ,100%," $  88.000,0 ",, $  -   ,, $  -   ," $  88.000,0 ",16/3/2026,MP, $  -   ,Artículos de librería / Impresiones
Marzo,Gastos Mantenimiento Locales ,barra movil,GG2," $  90.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  90.000,0 ",, $  -   ," $  90.000,0 ",16/3/2026,MP, $  -   ,Mantenimiento
Marzo,Gastos Mantenimiento Locales ,audio,MORENO," $  434.000,0 ",0%,100%," $  434.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  434.000,0 ",16/3/2026,MP, $  -   ,Mantenimiento
Marzo,DreI - Habilitaciones - Multas,control urbano,GG4," $  194.640,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  194.640,0 "," $  194.640,0 ",20/3/2026,MP,"-$  0,0 ","Servicios, Seguros & Tasas"
Marzo,Impresiones graficas ,carteleria,COLEGIO," $  92.500,0 ",0%,, $  -   ,, $  -   ,100%," $  92.500,0 ",, $  -   ,, $  -   ," $  92.500,0 ",20/3/2026,MP, $  -   ,Artículos de librería / Impresiones
Marzo,Impresiones graficas ,posters ,COLEGIO," $  30.000,0 ",0%,, $  -   ,, $  -   ,100%," $  30.000,0 ",, $  -   ,, $  -   ," $  30.000,0 ",19/3/2026,MP, $  -   ,Artículos de librería / Impresiones
Marzo,AFIP 931,alta art / deuda,ADM Central," $  658.156,0 ",0%,25%," $  164.539,0 ",25%," $  164.539,0 ",25%," $  164.539,0 ",25%," $  164.539,0 ",, $  -   ," $  658.156,0 ",20/3/2026,MP, $  -   ,Cargas Sociales
Marzo,DreI - Habilitaciones - Multas,islas callejeras deuda,GG2," $  631.192,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  631.192,0 ",, $  -   ," $  631.192,0 ",20/3/2026,MP, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Alquiler Locales,deuda canon 2025,,,100%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  1.388.000,0 ",25/3/2026,MP,"-$  1.388.000,0 ",Alquileres & Expensas
Marzo,Eventos,artistica,VIA VIEJA," $  212.500,0 ",0%,, $  -   ,100%," $  212.500,0 ",, $  -   ,, $  -   ,, $  -   ," $  212.500,0 ",25/3/2026,Transferencia, $  -   ,Eventos
Marzo,Alquiler Locales,,MORENO," $  1.283.420,0 ",0%,100%," $  1.283.420,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  1.283.420,0 ",10/3/2026,EF Local, $  -   ,Alquileres & Expensas
Marzo,Luz Locales,,GG4," $  1.056.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  1.056.000,0 "," $  1.056.000,0 ",26/2/2026,Transferencia, $  -   ,"Servicios, Seguros & Tasas"
Marzo,IVA B,charoque ,ADM Central," $  950.532,4 ",0%,37%," $  354.548,6 ",30%," $  285.159,7 ",11%," $  104.558,6 ",22%," $  209.117,1 ",, $  -   ," $  950.532,4 ",15/4/2026,Transferencia,"-$  0,0 ",IVA
Marzo,IVA B,charoque ,GG4," $  221.107,4 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  221.107,4 "," $  221.107,4 ",15/4/2026,Transferencia," $  0,0 ",IVA
